,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,payment_Bank_transfer_auto,payment_Credit_card_auto,payment_Electronic_check,payment_Mailed_check,contract_Month_to_month,contract_One_year,contract_Two_year,gender_Female,gender_Male,SC_False,SC_True,IS_DSL,IS_Fiber_optic,IS_No
0,1,0,1,0,1,0,2,0,0,0,0,1,29.85,29.85,0,False,False,True,False,True,False,False,True,False,True,False,True,False,False
1,0,0,34,1,0,2,0,2,0,0,0,0,56.95,1889.5,0,False,False,False,True,False,True,False,False,True,True,False,True,False,False
2,0,0,2,1,0,2,2,0,0,0,0,1,53.85,108.15,1,False,False,False,True,True,False,False,False,True,True,False,True,False,False
3,0,0,45,0,1,2,0,2,2,0,0,0,42.3,1840.75,0,True,False,False,False,False,True,False,False,True,True,False,True,False,False
4,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,1,False,False,True,False,True,False,False,True,False,True,False,False,True,False
5,0,0,8,1,2,0,0,2,0,2,2,1,99.65,820.5,1,False,False,True,False,True,False,False,True,False,True,False,False,True,False
6,0,1,22,1,2,0,2,0,0,2,0,1,89.1,1949.4,0,False,True,False,False,True,False,False,False,True,True,False,False,True,False
7,0,0,10,0,1,2,0,0,0,0,0,0,29.75,301.9,0,False,False,False,True,True,False,False,True,False,True,False,True,False,False
8,1,0,28,1,2,0,0,2,2,2,2,1,104.8,3046.05,1,False,False,True,False,True,False,False,True,False,True,False,False,True,False
9,0,1,62,1,0,2,2,0,0,0,0,0,56.15,3487.95,0,True,False,False,False,False,True,False,False,True,True,False,True,False,False
10,1,1,13,1,0,2,0,0,0,0,0,1,49.95,587.45,0,False,False,False,True,True,False,False,False,True,True,False,True,False,False
11,0,0,16,1,0,1,1,1,1,1,1,0,18.95,326.8,0,False,True,False,False,False,False,True,False,True,True,False,False,False,True
12,1,0,58,1,2,0,0,2,0,2,2,0,100.35,5681.1,0,False,True,False,False,False,True,False,False,True,True,False,False,True,False
13,0,0,49,1,2,0,2,2,0,2,2,1,103.7,5036.3,1,True,False,False,False,True,False,False,False,True,True,False,False,True,False
14,0,0,25,1,0,2,0,2,2,2,2,1,105.5,2686.05,0,False,False,True,False,True,False,False,False,True,True,False,False,True,False
15,1,1,69,1,2,2,2,2,2,2,2,0,113.25,7895.15,0,False,True,False,False,False,False,True,True,False,True,False,False,True,False
16,0,0,52,1,0,1,1,1,1,1,1,0,20.65,1022.95,0,False,False,False,True,False,True,False,True,False,True,False,False,False,True
17,0,1,71,1,2,2,0,2,0,2,2,0,106.7,7382.25,0,True,False,False,False,False,False,True,False,True,True,False,False,True,False
18,1,1,10,1,0,0,0,2,2,0,0,0,55.2,528.35,1,False,True,False,False,True,False,False,True,False,True,False,True,False,False
19,0,0,21,1,0,0,2,2,0,0,2,1,90.05,1862.9,0,False,False,True,False,True,False,False,True,False,True,False,False,True,False
20,0,0,1,0,1,0,0,2,0,0,2,1,39.65,39.65,1,False,False,True,False,True,False,False,False,True,False,True,True,False,False
21,1,0,12,1,0,1,1,1,1,1,1,0,19.8,202.25,0,True,False,False,False,False,True,False,False,True,True,False,False,False,True
22,0,0,1,1,0,1,1,1,1,1,1,0,20.15,20.15,1,False,False,False,True,True,False,False,False,True,True,False,False,False,True
23,1,0,58,1,2,0,2,0,2,0,0,1,59.9,3505.1,0,False,True,False,False,False,False,True,True,False,True,False,True,False,False
24,1,1,49,1,0,2,2,0,2,0,0,0,59.6,2970.3,0,False,True,False,False,True,False,False,False,True,True,False,True,False,False
25,0,0,30,1,0,2,2,0,0,0,0,1,55.3,1530.6,0,True,False,False,False,True,False,False,True,False,True,False,True,False,False
26,1,1,47,1,2,0,2,0,0,2,2,1,99.35,4749.15,1,False,False,True,False,True,False,False,False,True,True,False,False,True,False
27,1,1,1,0,1,0,2,0,0,0,0,0,30.2,30.2,1,False,False,True,False,True,False,False,False,True,True,False,True,False,False
28,1,0,72,1,2,2,2,2,2,2,2,1,90.25,6369.45,0,False,True,False,False,False,False,True,False,True,True,False,True,False,False
29,0,1,17,1,0,0,0,0,0,2,2,1,64.7,1093.1,1,False,False,False,True,True,False,False,True,False,True,False,True,False,False
30,1,0,71,1,2,2,2,2,2,0,0,1,96.35,6766.95,0,False,True,False,False,False,False,True,True,False,False,True,False,True,False
31,1,0,2,1,0,0,0,2,0,2,2,1,95.5,181.65,0,False,True,False,False,True,False,False,False,True,False,True,False,True,False
32,1,1,27,1,0,2,2,2,2,0,0,0,66.15,1874.45,0,False,False,False,True,False,True,False,True,False,True,False,True,False,False
33,0,0,1,1,0,1,1,1,1,1,1,0,20.2,20.2,0,True,False,False,False,True,False,False,False,True,True,False,False,False,True
34,0,0,1,1,0,0,0,0,0,0,0,0,45.25,45.25,0,True,False,False,False,True,False,False,False,True,False,True,True,False,False
35,1,1,72,1,2,2,2,0,2,2,0,0,99.9,7251.7,0,True,False,False,False,False,False,True,True,False,True,False,False,True,False
36,0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,1,False,False,True,False,True,False,False,False,True,True,False,False,True,False
37,0,0,46,1,0,0,0,2,0,0,0,1,74.8,3548.3,0,False,True,False,False,True,False,False,True,False,True,False,False,True,False
38,0,0,34,1,2,0,2,2,0,2,2,1,106.35,3549.25,1,False,False,True,False,True,False,False,False,True,True,False,False,True,False
39,0,0,11,1,2,0,0,2,0,2,2,1,97.85,1105.4,1,True,False,False,False,True,False,False,True,False,True,False,False,True,False
40,1,1,10,1,0,0,2,0,0,0,0,0,49.55,475.7,0,False,False,False,True,False,True,False,False,True,True,False,True,False,False
41,1,1,70,1,2,2,2,0,0,2,0,1,69.2,4872.35,0,False,True,False,False,False,False,True,True,False,True,False,True,False,False
42,1,1,17,1,0,1,1,1,1,1,1,0,20.75,418.25,0,False,False,False,True,False,True,False,True,False,True,False,False,False,True
43,0,0,63,1,2,2,2,2,2,2,0,1,79.85,4861.45,0,False,True,False,False,False,False,True,True,False,True,False,True,False,False
44,1,0,13,1,2,2,2,0,2,2,0,1,76.2,981.45,0,False,False,True,False,True,False,False,True,False,True,False,True,False,False
45,0,0,49,1,2,0,0,0,0,0,2,1,84.5,3906.7,0,False,False,True,False,True,False,False,True,False,True,False,False,True,False
46,0,0,2,1,0,0,2,0,0,0,0,0,49.25,97.0,0,False,False,False,True,True,False,False,False,True,True,False,True,False,False
47,0,0,2,1,0,0,0,0,0,2,0,1,80.65,144.15,1,False,False,True,False,True,False,False,True,False,True,False,False,True,False
48,0,0,52,1,2,2,0,0,2,2,2,1,79.75,4217.8,0,False,True,False,False,False,False,True,False,True,True,False,True,False,False
49,1,1,69,1,2,2,0,2,2,0,0,1,64.15,4254.1,0,False,True,False,False,False,False,True,True,False,True,False,True,False,False
50,0,0,43,1,2,0,2,0,0,2,0,1,90.25,3838.75,0,False,False,True,False,True,False,False,True,False,False,True,False,True,False
51,0,0,15,1,0,2,2,0,0,2,2,1,99.1,1426.4,1,False,True,False,False,True,False,False,True,False,True,False,False,True,False
52,1,0,25,1,2,2,0,0,2,2,0,1,69.5,1752.65,0,False,True,False,False,True,False,False,True,False,False,True,True,False,False
53,1,0,8,1,2,0,2,0,0,0,0,1,80.65,633.3,1,False,True,False,False,True,False,False,True,False,False,True,False,True,False
54,1,1,60,1,0,2,2,2,2,0,2,1,74.85,4456.35,0,False,True,False,False,False,True,False,True,False,False,True,True,False,False
55,0,0,18,1,2,0,0,0,0,2,2,1,95.45,1752.55,1,False,False,True,False,True,False,False,False,True,False,True,False,True,False
56,1,1,63,1,2,2,0,0,0,2,2,1,99.65,6311.2,0,False,True,False,False,False,True,False,True,False,True,False,False,True,False
57,1,1,66,1,2,0,2,2,2,2,2,1,108.45,7076.35,0,False,False,True,False,False,True,False,False,True,False,True,False,True,False
58,1,1,34,1,2,1,1,1,1,1,1,0,24.95,894.3,0,False,True,False,False,False,False,True,True,False,True,False,False,False,True
59,0,0,72,1,2,0,0,2,2,2,2,1,107.5,7853.7,0,False,True,False,False,False,False,True,True,False,True,False,False,True,False
60,1,0,47,1,2,0,0,2,0,2,2,1,100.5,4707.1,0,False,False,True,False,True,False,False,True,False,True,False,False,True,False
61,0,0,60,1,2,0,2,0,0,2,0,1,89.9,5450.7,0,True,False,False,False,True,False,False,False,True,True,False,False,True,False
62,1,0,72,0,1,2,2,2,0,0,0,0,42.1,2962.0,0,True,False,False,False,False,False,True,False,True,True,False,True,False,False
63,1,1,18,1,0,0,0,2,2,0,0,1,54.4,957.1,0,False,True,False,False,False,True,False,True,False,True,False,True,False,False
64,0,0,9,1,2,0,0,0,0,2,2,0,94.4,857.25,1,False,False,True,False,True,False,False,True,False,True,False,False,True,False
65,0,0,3,1,0,0,2,0,2,2,2,1,75.3,244.1,0,False,False,True,False,True,False,False,True,False,True,False,True,False,False
66,1,0,47,1,2,0,2,0,0,0,0,1,78.9,3650.35,0,False,False,True,False,False,True,False,False,True,True,False,False,True,False
67,0,0,31,1,0,0,2,2,2,2,2,0,79.2,2497.2,0,False,False,False,True,False,False,True,True,False,True,False,True,False,False
